query_index,query_title,query_label,recommended_rank,recommended_title,recommended_label,similarity_score,same_label
0,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,1,Citation Recommendation as Edge Prediction in Heterogeneous Bibliographic Network: A Network Representation Approach,citation_recommendation,0.9607200622558594,1
0,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,2,Content-Based Citation Recommendation,citation_recommendation,0.9596447348594666,1
0,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,3,ConvCN: A CNN-Based Citation Network Embedding Algorithm towards Citation Recommendation,citation_recommendation,0.9586647748947144,1
0,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,4,NeuSub: A Neural Submodular Approach for Citation Recommendation,citation_recommendation,0.9583291411399841,1
0,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,5,Collaborative Filtering With Network Representation Learning for Citation Recommendation,citation_recommendation,0.9567014575004578,1
1,Citation recommendation based on argumentative zoning of user queries,citation_recommendation,1,A deep learning approach for context-aware citation recommendation using rhetorical zone classification and similarity to overcome cold-start problem,citation_recommendation,0.9426929950714111,1
1,Citation recommendation based on argumentative zoning of user queries,citation_recommendation,2,A New Citation Recommendation Strategy Based on Term Functions in Related Studies Section,citation_recommendation,0.9413137435913086,1
1,Citation recommendation based on argumentative zoning of user queries,citation_recommendation,3,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,0.9409204721450806,1
1,Citation recommendation based on argumentative zoning of user queries,citation_recommendation,4,Citation Recommendation Using Distributed Representation of Discourse Facets in Scientific Articles,citation_recommendation,0.9352893233299255,1
1,Citation recommendation based on argumentative zoning of user queries,citation_recommendation,5,Supporting Your Idea Reasonably: A Knowledge-Aware Topic Reasoning Strategy for Citation Recommendation,citation_recommendation,0.9330868124961853,1
2,Bibliographic network enhanced local citation recommendation,citation_recommendation,1,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.951500415802002,1
2,Bibliographic network enhanced local citation recommendation,citation_recommendation,2,Dual Attention Model for Citation Recommendation,citation_recommendation,0.9514279961585999,1
2,Bibliographic network enhanced local citation recommendation,citation_recommendation,3,DocCit2Vec: Citation Recommendation via Embedding of Content and Structural Contexts,citation_recommendation,0.9508113265037537,1
2,Bibliographic network enhanced local citation recommendation,citation_recommendation,4,SVD-CNN: A Convolutional Neural Network Model with Orthogonal Constraints Based on SVD for Context-Aware Citation Recommendation,citation_recommendation,0.9502140283584595,1
2,Bibliographic network enhanced local citation recommendation,citation_recommendation,5,ConvCN: A CNN-Based Citation Network Embedding Algorithm towards Citation Recommendation,citation_recommendation,0.9486950635910034,1
3,Supporting Your Idea Reasonably: A Knowledge-Aware Topic Reasoning Strategy for Citation Recommendation,citation_recommendation,1,Joint Model Feature Regression and Topic Learning for Global Citation Recommendation,citation_recommendation,0.9509341716766357,1
3,Supporting Your Idea Reasonably: A Knowledge-Aware Topic Reasoning Strategy for Citation Recommendation,citation_recommendation,2,DocCit2Vec: Citation Recommendation via Embedding of Content and Structural Contexts,citation_recommendation,0.9485382437705994,1
3,Supporting Your Idea Reasonably: A Knowledge-Aware Topic Reasoning Strategy for Citation Recommendation,citation_recommendation,3,Graph Neural Collaborative Topic Model for Citation Recommendation,citation_recommendation,0.9482343196868896,1
3,Supporting Your Idea Reasonably: A Knowledge-Aware Topic Reasoning Strategy for Citation Recommendation,citation_recommendation,4,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.9479828476905823,1
3,Supporting Your Idea Reasonably: A Knowledge-Aware Topic Reasoning Strategy for Citation Recommendation,citation_recommendation,5,Bibliographic Network Representation Based Personalized Citation Recommendation,citation_recommendation,0.9469600319862366,1
4,Evolving Knowledge Graph Representation Learning with Multiple Attention Strategies for Citation Recommendation System,citation_recommendation,1,Global Citation Recommendation employing Multi-view Heterogeneous Network Embedding,citation_recommendation,0.9376950263977051,1
4,Evolving Knowledge Graph Representation Learning with Multiple Attention Strategies for Citation Recommendation System,citation_recommendation,2,Supporting Your Idea Reasonably: A Knowledge-Aware Topic Reasoning Strategy for Citation Recommendation,citation_recommendation,0.9318667650222778,1
4,Evolving Knowledge Graph Representation Learning with Multiple Attention Strategies for Citation Recommendation System,citation_recommendation,3,Graph Neural Collaborative Topic Model for Citation Recommendation,citation_recommendation,0.9267805218696594,1
4,Evolving Knowledge Graph Representation Learning with Multiple Attention Strategies for Citation Recommendation System,citation_recommendation,4,Bibliographic network enhanced local citation recommendation,citation_recommendation,0.9260584115982056,1
4,Evolving Knowledge Graph Representation Learning with Multiple Attention Strategies for Citation Recommendation System,citation_recommendation,5,Academic Collaborator Recommendation Based on Attributed Network Embedding,collaborator_recommendation,0.9258053302764893,0
5,CiteBART: Learning to Generate Citations for Local Citation Recommendation,citation_recommendation,1,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,citation_recommendation,0.9413045048713684,1
5,CiteBART: Learning to Generate Citations for Local Citation Recommendation,citation_recommendation,2,ILCiteR: Evidence-grounded Interpretable Local Citation Recommendation,citation_recommendation,0.9410357475280762,1
5,CiteBART: Learning to Generate Citations for Local Citation Recommendation,citation_recommendation,3,A context-aware citation recommendation model with BERT and graph convolutional networks,citation_recommendation,0.9377118945121765,1
5,CiteBART: Learning to Generate Citations for Local Citation Recommendation,citation_recommendation,4,NeuSub: A Neural Submodular Approach for Citation Recommendation,citation_recommendation,0.9352893829345703,1
