opportunity_id,opportunity_type,title,description,target_domains,keywords,region,deadline,ecr_friendly
J-101,journal,IEEE Access Special Issue on AI for Scholarly Discovery,"Call for papers focused on recommendation systems, scientometrics, academic search and explainable AI for scholarly knowledge discovery.","recommender systems|information retrieval|data science","recommender systems|scientometrics|explainability|scholarly search",Astana,2026-06-01,True
C-201,conference,ECIR Workshop on Fair Academic Search,"Workshop for information retrieval, ranking, fairness-aware retrieval, cold-start user modeling and academic discovery platforms.","information retrieval|nlp|recommender systems","fairness|ranking|information retrieval|cold start",Online,2026-05-10,True
G-301,grant,Bolashak Young Researcher Mobility Grant,"Mobility and networking grant for doctoral and early postdoctoral researchers working on digital science, AI or applied analytics.","data science|ai|digital science","grant|networking|early career|mobility",Astana,2026-07-15,True
M-401,mentor,Prof. Aigerim Suleimenova Mentoring Slot,"Mentorship for doctoral researchers in NLP, scholarly communication and AI productization with focus on publication strategy.","nlp|digital science|product research","mentorship|nlp|publication strategy|career growth",Astana,2026-04-30,True
J-102,journal,Journal of Informetrics Submission Window,"Journal targeting citation analysis, academic networks, scientific impact metrics and scholarly communication systems.","scientometrics|information retrieval|social network analysis","scientometrics|citations|metrics|academic networks",Online,2026-08-20,False
C-202,conference,Graph ML for Science Summit,"Conference track for graph neural networks, heterogeneous graphs and collaboration recommendation in research ecosystems.","graph learning|bioinformatics|recommender systems","graphs|han|collaboration|science",Almaty,2026-09-05,True
G-302,grant,Interdisciplinary Research Seed Fund,"Small seed funding for cross-domain teams with clear methodology, evaluation plan and open-science deliverables.","data science|bioinformatics|education analytics","interdisciplinary|open science|prototype|evaluation",Karaganda,2026-05-25,False
M-402,mentor,Open Science Reproducibility Office Hours,"Monthly mentor office hours for reproducibility, academic Git workflows, data governance, and open-source research infrastructure.","scientific computing|data science|digital science","open science|reproducibility|git|research software",Online,2026-05-07,True
J-103,journal,Frontiers Research Topic on Trustworthy AI in Academia,"Research topic covering trustworthy AI, bias mitigation, explainability, and user trust in academic platforms and educational systems.","trustworthy ai|education analytics|hci","fairness|trustworthy ai|explainability|platforms",Online,2026-09-12,True
C-203,conference,KazNLP and Low-Resource Language Workshop,"Regional workshop for multilingual NLP, low-resource evaluation, academic translation quality, and Kazakh language technologies.","nlp|computational linguistics|digital humanities","kazakh nlp|low resource ai|evaluation|language technology",Astana,2026-06-18,True
G-303,grant,Young Investigator Fairness Grant,"Pilot grant for algorithmic fairness, inclusion, and equitable access in data-intensive public systems and scholarly infrastructure.","data science|public policy|recommender systems","fairness|algorithmic accountability|pilot study|equity",Online,2026-08-01,True
M-403,mentor,Clinical AI Ethics Mentor Circle,"Small-group mentoring for health informatics researchers focusing on privacy, multilingual models, ethics review, and publication strategy.","health informatics|nlp|data governance","health ai|privacy|ethics|multilingual models",Astana,2026-05-22,True
J-104,journal,Pattern Recognition Letters Fast Track on Applied CV,"Fast-track issue for multimodal learning, medical imaging, and practical computer vision deployment papers.","computer vision|medical imaging|robotics","computer vision|multimodal learning|medical imaging|deployment",Almaty,2026-07-05,False
C-204,conference,OpenAlex Builders Mini Summit,"Technical mini summit for engineers and researchers building products over OpenAlex, ORCID, and scholarly metadata graphs.","digital science|library science|information retrieval","openalex|metadata|orcid|scholarly graphs",Online,2026-05-29,True
G-304,grant,GeoAI Climate Seed Challenge,"Challenge grant for geospatial machine learning, remote sensing, and environmental policy intelligence projects.","environmental data science|geospatial ml|remote sensing","climate analytics|geoai|policy impact|remote sensing",Almaty,2026-09-01,False
M-404,mentor,HCI for Research Platforms Clinic,"Mentor clinic for product strategy, dashboard UX, evaluation design, and explainability interfaces for scientific software.","hci|product research|digital science","ux research|dashboard design|explainability|product strategy",Astana,2026-05-14,True
