researcher_id,name,phd_year,domain,region,career_stage,h_index,publication_count,keywords,skills,languages,goals
1,Aruzhan Sarsembayeva,2024,NLP,Astana,phd_candidate,1,2,"nlp|llm|scientometrics|recommender systems","python|pytorch|transformers|data analysis","en|ru|kz","find collaborators for dissertation and improve visibility"
2,Timur Zhakupov,2021,Computer Vision,Almaty,postdoc,4,9,"computer vision|multimodal learning|medical imaging","python|deep learning|mlops|docker","en|ru","join interdisciplinary grant and publish in q1 journals"
3,Dana Bekmurat,2025,Recommender Systems,Astana,phd_candidate,0,1,"recommender systems|fairness|graphs|academic ranking","python|networkx|fastapi|experimentation","en|ru|kz","build fair feed algorithms and find mentor"
4,Asel Nurpeissova,2018,Bioinformatics,Astana,assistant_professor,12,24,"bioinformatics|genomics|graph learning|knowledge graphs","python|r|graph neural networks|mentoring","en|ru","mentor young researchers and launch collaborations"
5,Nursultan Akhmetov,2020,Data Science,Karaganda,postdoc,6,14,"tabular ml|causal inference|fairness|education analytics","python|xgboost|statistics|sql","en|ru","co-author fairness paper and expand research network"
6,Madina Ospanova,2023,Information Retrieval,Almaty,phd_candidate,2,4,"information retrieval|scholarly search|citation recommendation|bert","python|elasticsearch|transformers|evaluation","en|ru","improve academic search models and present at conferences"
7,Adil Tursynbek,2022,Graph Machine Learning,Astana,postdoc,3,7,"graph learning|heterogeneous networks|link prediction|science of science","python|pytorch geometric|networkx|research design","en|ru","build collaborator graph models for scholarly ecosystems"
8,Kamila Yermek,2024,Digital Sociology,Almaty,phd_candidate,1,3,"science communication|academic identity|social networks|qualitative methods","python|survey design|mixed methods|data visualization","en|ru|kz","study digital visibility and researcher wellbeing"
9,Alibek Yessimov,2019,Educational Technology,Shymkent,assistant_professor,8,18,"learning analytics|student success|causal inference|dashboard design","python|sql|causal inference|product analytics","en|ru","launch cross-university analytics collaborations"
10,Saltanat Ilyasova,2023,Health Informatics,Astana,phd_candidate,2,5,"health informatics|clinical nlp|fairness|multilingual ai","python|nlp|privacy engineering|docker","en|ru|kz","find multilingual healthcare AI mentors"
11,Arman Serikbayev,2021,Scientific Computing,Karaganda,postdoc,5,11,"high performance computing|simulation|reproducibility|open science","python|c++|hpc|containers","en|ru","publish reproducible workflows and attract collaborators"
12,Ainur Kassen,2024,Library and Information Science,Astana,phd_candidate,1,2,"bibliometrics|open access|metadata quality|scholarly communication","python|metadata curation|openalex|dashboarding","en|ru|kz","improve metadata quality for local researchers"
13,Ruslan Omarov,2020,Robotics,Almaty,postdoc,7,15,"robotics|reinforcement learning|computer vision|human robot interaction","python|ros|deep learning|rapid prototyping","en|ru","build international robotics collaborations"
14,Malika Duisen,2025,Computational Linguistics,Astana,phd_candidate,0,1,"computational linguistics|kazakh nlp|low resource ai|evaluation","python|transformers|annotation|linguistic analysis","en|ru|kz","promote low-resource language research visibility"
15,Yeldar Nurgali,2018,Environmental Data Science,Almaty,assistant_professor,10,22,"remote sensing|climate analytics|geospatial ml|policy impact","python|geopandas|time series|grant writing","en|ru","find interdisciplinary grants and doctoral collaborators"
16,Tomiris Sakenova,2022,Human-Computer Interaction,Astana,postdoc,3,8,"human computer interaction|ux research|trustworthy ai|explainability","python|user studies|frontend|experiment design","en|ru|kz","design explainable dashboards for researcher discovery"
