paperId,title,abstract,year,venue,url,label
1cbbc2d25659437b4e7d0c75095682d69d2c27b9,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,"As the number of scientific publications continues to increase at a dizzying rate, researchers face challenges related to spending too much time and effort searching for appropriate papers to cite in their work. Citation recommendation models have thus been developed to automatically generate a list of relevant papers for a specific text passage, thus helping to reduce the workload for scientists and contribute to better-quality research. Consequently, this research direction has recently attracted significant interest in the scientific community. However, the current citation recommendation models still focus primarily on the citation context and do not adequately address the metadata of papers, such as the citation links, publication time, and venue. To overcome these problems, in this study, we propose the SciBERT-GraphSAGE which is a hybrid deep learning-based model for recommending a list of academic papers by considering both the citation context and this article’s metadata. Our model has two important components: 1) SciBERT for text data representation learning and 2) GraphSAGE for learning the representations of this article’s citation links. We validate the effectiveness of our model on three benchmark datasets: 1) FullTextPeerRead; 2) ACL; and 3) RefSeer. The results from experiments demonstrate that our novel SciBERT-GraphSAGE model outperforms previous advanced models in terms of Recall@K, mean reciprocal rank (MRR), and mean average precision (MAP).",2025,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",https://www.semanticscholar.org/paper/1cbbc2d25659437b4e7d0c75095682d69d2c27b9,citation_recommendation
fc798e6d9a7daaacfc2f3fb08808b3658e441584,Citation recommendation based on argumentative zoning of user queries,"Citation recommendation aims to locate the important papers for scholars to cite. When writing the citing sentences, the authors usually hold different citing intents, which are referred to citation function in citation analysis. Since argumentative zoning is to identify the argumentative and rhetorical structure in scientific literature, we want to use this information to improve the citation recommendation task. In this paper, a multi-task learning model is built for citation recommendation and argumentative zoning classification. We also generated an annotated corpus of the data from PubMed Central based on a new argumentative zoning schema. The experimental results show that, by considering the argumentative information in the citing sentence, citation recommendation model will get better performance.",2025,J. Informetrics,https://www.semanticscholar.org/paper/fc798e6d9a7daaacfc2f3fb08808b3658e441584,citation_recommendation
bda0cfbfe0d7765a0cdce1ad4710613d5be874cd,Bibliographic network enhanced local citation recommendation,"Purpose
This study aims to address the challenge of efficiently identifying appropriate citations in scientific literature, which has become increasingly difficult due to the rapid growth in the volume of scientific research. This study aims to enhance citation recommendation systems by incorporating both textual and bibliographic network information.

Design/methodology/approach
A novel attention-based encoder-decoder model is proposed, which integrates textual information within citation contexts and bibliographic network information outside of these contexts. The model uses a graph representation learning method to capture complex citation and co-author relationships within a bibliographic network. Additionally, academic pre-trained language models are utilized within an encoder-decoder framework to generate rich representations of citation contexts.

Findings
Extensive experiments on a real-world dataset demonstrate the effectiveness of the proposed method. Comparative experiments reveal that incorporating bibliographic network information significantly improves the performance of local citation recommendations.

Originality/value
This study is original in its approach to combining bibliographic network information with textual context for citation recommendation. By leveraging both types of information, the proposed method addresses a gap in existing citation recommendation systems, which often overlook the importance of external bibliographic relationships.",2025,Electronic library,https://www.semanticscholar.org/paper/bda0cfbfe0d7765a0cdce1ad4710613d5be874cd,citation_recommendation
68f81c9aa9de699bddae940fabb4b6c8dbb005c5,Supporting Your Idea Reasonably: A Knowledge-Aware Topic Reasoning Strategy for Citation Recommendation,"With the explosive growth of scholarly information, researchers spend much time and effort copiously quoting authoritative works to support their ideas or motivations. We aim to alleviate this situation by proposing a citation recommendation strategy that recalls related papers for a rough idea (a piece of text, i.e., abstract, manuscript). However, the perspective of existing citation recommendations can not be well applied to our task for two defects. First, these methods neglect the reasoning of research topics, which makes the recommendation mechanism not meticulous enough and lacks explainability. For instance, they are not able to mine the hidden citing logic for the candidate paper while recommending. We fill the research gap by constructing structural topics consisting of knowledge concepts from the textual content, where reasoning paths between topics are extracted from an external knowledge graph. Second, the citation network is viewed as a crucial structural context to enhance the recommendation performance, but the new target idea does not have links to the citation network as published papers do. To simulate the prospective topological structure, our model, meanwhile, incorporates a contrastive-learning-based alignment paradigm to encourage the consistency of content embeddings and structure-oriented embeddings. We evaluate our proposed model on three real-world datasets and demonstrate that it significantly improves recommendation accuracy while providing high-q",2024,IEEE Transactions on Knowledge and Data Engineering,https://www.semanticscholar.org/paper/68f81c9aa9de699bddae940fabb4b6c8dbb005c5,citation_recommendation
b49f6029d681ac286ab929238f5aef5f352767c8,Evolving Knowledge Graph Representation Learning with Multiple Attention Strategies for Citation Recommendation System,"The growing number of publications in the field of artificial intelligence highlights the need for researchers to enhance their efficiency in searching for relevant articles. Most paper recommendation models either rely on simplistic citation relationships among papers or focus on content-based approaches, both of which overlook interactions within academic networks. To address the aforementioned problem, knowledge graph embedding (KGE) methods have been used for citation recommendations because recent research proves that graph representations can effectively improve recommendation model accuracy. However, academic networks are dynamic, leading to changes in the representations of users and items over time. The majority of KGE-based citation recommendations are primarily designed for static graphs, thus failing to capture the evolution of dynamic knowledge graph (DKG) structures. To address these challenges, we introduced the evolving knowledge graph embedding (EKGE) method. In this methodology, evolving knowledge graphs are input into time-series models to learn the patterns of structural evolution. The model has the capability to generate embeddings for each entity at various time points, thereby overcoming limitation of static models that require retraining to acquire embeddings at each specific time point. To enhance the efficiency of feature extraction, we employed a multiple attention strategy. This helped the model find recommendation lists that are closely related to",2024,ACM Transactions on Intelligent Systems and Technology,https://www.semanticscholar.org/paper/b49f6029d681ac286ab929238f5aef5f352767c8,citation_recommendation
3cac254c19bc290be717d055d7dc3b5008da8dc0,CiteBART: Learning to Generate Citations for Local Citation Recommendation,"Local citation recommendation (LCR) suggests a set of papers for a citation placeholder within a given context. The task has evolved as generative approaches have become more promising than the traditional pre-fetch and re-rank-based state-of-the-art approaches. This paper introduces citation-specific pre-training within an encoder-decoder architecture, where author-date citation tokens are masked to learn to reconstruct them to fulfill LCR. There are two variants for this pre-training. In the local context-only base scheme (CiteBART-Base), the citation token in a local context is masked to learn to predict the citation. The global version (CiteBART-Global) extends the local context with the citing paper's title and abstract to enrich the learning signal. CiteBART-Global achieves state-of-the-art performance on LCR benchmarks except for the FullTextPeerRead dataset, which is quite small to see the advantage of generative pre-training. The effect is significant in the larger benchmarks, e.g., Refseer and ArXiv., with the Refseer benchmark-trained model emerging as the best-performing model. We perform comprehensive experiments, including an ablation study, a qualitative analysis, and a taxonomy of hallucinations with detailed statistics. Our analyses confirm that CiteBART-Global has a cross-dataset generalization capability; the macro hallucination rate (MaHR) at the top-3 predictions is 4\%, and when the ground-truth is in the top-k prediction list, the hallucination tendency",2024,Conference on Empirical Methods in Natural Language Processing,https://www.semanticscholar.org/paper/3cac254c19bc290be717d055d7dc3b5008da8dc0,citation_recommendation
119ee96ef4a9293462da3d4d2db32f2d58f90e8d,ILCiteR: Evidence-grounded Interpretable Local Citation Recommendation,"Existing Machine Learning approaches for local citation recommendation directly map or translate a query, which is typically a claim or an entity mention, to citation-worthy research papers. Within such a formulation, it is challenging to pinpoint why one should cite a specific research paper for a particular query, leading to limited recommendation interpretability. To alleviate this, we introduce the evidence-grounded local citation recommendation task, where the target latent space comprises evidence spans for recommending specific papers. Using a distantly-supervised evidence retrieval and multi-step re-ranking framework, our proposed system, ILCiteR, recommends papers to cite for a query grounded on similar evidence spans extracted from the existing research literature. Unlike past formulations that simply output recommendations, ILCiteR retrieves ranked lists of evidence span and recommended paper pairs. Secondly, previously proposed neural models for citation recommendation require expensive training on massive labeled data, ideally after every significant update to the pool of candidate papers. In contrast, ILCiteR relies solely on distant supervision from a dynamic evidence database and pre-trained Transformer-based Language Models without any model training. We contribute a novel dataset for the evidence-grounded local citation recommendation task and demonstrate the efficacy of our proposed conditional neural rank-ensembling approach for re-ranking evidence spans.",2024,International Conference on Language Resources and Evaluation,https://www.semanticscholar.org/paper/119ee96ef4a9293462da3d4d2db32f2d58f90e8d,citation_recommendation
787d8e33270c9a2e020e4cf48a753e158684eb95,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,"Citing pertinent literature is pivotal to writing and reviewing a scientific document. Existing techniques mainly focus on the local context or the global context for recommending citations but fail to consider the actual human citation behaviour. We propose SymTax, a three-stage recommendation architecture that considers both the local and the global context, and additionally the taxonomical representations of query-candidate tuples and the Symbiosis prevailing amongst them. SymTax learns to embed the infused taxonomies in the hyperbolic space and uses hyperbolic separation as a latent feature to compute query-candidate similarity. We build a novel and large dataset ArSyTa containing 8.27 million citation contexts and describe the creation process in detail. We conduct extensive experiments and ablation studies to demonstrate the effectiveness and design choice of each module in our framework. Also, combinatorial analysis from our experiments shed light on the choice of language models (LMs) and fusion embedding, and the inclusion of section heading as a signal. Our proposed module that captures the symbiotic relationship solely leads to performance gains of 26.66% and 39.25% in Recall@5 w.r.t. SOTA on ACL-200 and RefSeer datasets, respectively. The complete framework yields a gain of 22.56% in Recall@5 wrt SOTA on our proposed dataset. The code and dataset are available at https://github.com/goyalkaraniit/SymTax",2024,Annual Meeting of the Association for Computational Linguistics,https://www.semanticscholar.org/paper/787d8e33270c9a2e020e4cf48a753e158684eb95,citation_recommendation
275c8924105004de90854959a6571a5c300d41c9,Deep Learning-Assisted Citation Recommendation System Using Multi- cell RNN Approach,"A process of retrieving relevant or suitable papers that are mostly related to the research topic while carrying research knowing the behavior and patterns of citation for mapping the disciplines and subjects. This is used increasingly for judging usually takes a huge amount of effort and time. The citation recommendation is used frequently for solving this issue on suggesting the list of candidate papers automatically which may match the references of user. On applying Deep learning (DL) models in the citation recommendation system, the performance enhancement is greatly visible in various recent research studies. Hence, in this work, a deep learning-based model is employed for the citation recommendation system. Primarily, the input dataset is taken and the function words are removed using stochastic matching pattern scheme at which the library is created. Then, the canonicalization of document is carried by means of probabilistic min-match algorithm. The data is classified finally using Multi-cell RNN (Recurrent neural network) approach after which the rank is set for citation. At last, the performance is assessed for various metrics like MAP, MRR, precision, recall, and F1-measure. The obtained results are then compared with traditional models to validate and show the enhancement of proposed model over existing schemes. It is revealed from the analysis that the proposed scheme shows improvement in results.",2023,Tuijin Jishu/Journal of Propulsion Technology,https://www.semanticscholar.org/paper/275c8924105004de90854959a6571a5c300d41c9,citation_recommendation
1001e2e27f10a4f5089d38b028f8d3ae68dc9e55,A Systematic Review of Citation Recommendation Over the Past Two Decades,"A citation is a reference to the source of information used in an article. Citations are very useful for students and researchers to locate relevant information on a topic. Proper citation is also important in the academic ethics of article writing. Due to the rapid growth of scientific works published each year, how to automatically recommend citations to students and researchers has become an interesting but challenging research problem. In particular, a citation recommendation system can assist students to identify relevant papers and literature for academic writing. Citation recommendation can be classified into local and global citation recommendation depending on whether a specific local citation context is given; e.g., the text surrounding a citation placeholder. This article provides a systematic review on global citation recommendation models and compares the reviewed methods from the traditional topic- based models to the recent models embedded with deep neural networks, aiming to summarize this field to facilitate researchers working on citation recommendation.",2023,International Journal on Semantic Web and Information Systems (IJSWIS),https://www.semanticscholar.org/paper/1001e2e27f10a4f5089d38b028f8d3ae68dc9e55,citation_recommendation
